N,rho,rho_uniform,improvement_over_uniform,search_seconds,objective_evaluations,start_count,candidate_count,best_source,output_normalization,search_gauge_min_gap,output_scale_from_search_gauge,lambda_span,lambda_final,rescaling_spectral_radius_error,min_gap,max_gap,gap_ratio,min_gap_count,min_gap_first_1_based,min_gap_last_1_based,gap_run_count,gap_pattern,reversal_error,inward_nonincreasing,max_coordinate_perturbation_gain,max_random_perturbation_gain,gap_1,gap_2,gap_3,gap_4,gap_5,gap_6,gap_7,gap_8,gap_9,gap_10,gap_11,gap_12,gap_13,gap_14,gap_15,gap_16,gap_17,gap_18,gap_19,gap_20,gap_21,gap_22,gap_23,gap_24,gap_25,gap_26,gap_27,gap_28,gap_29,gap_30,gap_31,gap_32,gap_33,gap_34,gap_35,gap_36,gap_37,gap_38,gap_39,gap_40,gap_41,gap_42,gap_43,gap_44,gap_45,gap_46,gap_47,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10,lambda_11,lambda_12,lambda_13,lambda_14,lambda_15,lambda_16,lambda_17,lambda_18,lambda_19,lambda_20,lambda_21,lambda_22,lambda_23,lambda_24,lambda_25,lambda_26,lambda_27,lambda_28,lambda_29,lambda_30,lambda_31,lambda_32,lambda_33,lambda_34,lambda_35,lambda_36,lambda_37,lambda_38,lambda_39,lambda_40,lambda_41,lambda_42,lambda_43,lambda_44,lambda_45,lambda_46,lambda_47,lambda_48
23,2.815856150306842,2.814625886346299,0.001230263960543709,10.575729877,21180,38,98,run_refine_tol0.02_Q3:stationary,min(gap)=1,0.7729479256323986,1.293748216196887,28.46246075633153,29.46246075633153,1.776357e-15,1,4.231230378165797,4.231230378165797,20,2,21,3,4.231230378^1 | 1^20 | 4.231230378^1,4.942913e-14,True,-1.483258e-13,-2.485219e-05,4.231230378165733,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.231230378165797,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.231230378165733,6.231230378165733,7.231230378165733,8.231230378165733,9.231230378165733,10.23123037816573,11.23123037816573,12.23123037816573,13.23123037816573,14.23123037816573,15.23123037816573,16.23123037816573,17.23123037816573,18.23123037816573,19.23123037816573,20.23123037816573,21.23123037816573,22.23123037816573,23.23123037816573,24.23123037816573,25.23123037816573,29.46246075633153,,,,,,,,,,,,,,,,,,,,,,,,,
24,2.828084280003235,2.826368609245403,0.001715670757831855,9.241686658,14838,38,97,run_refine_tol0.02_Q3:stationary,min(gap)=1,0.762338559322928,1.311753141397113,30.1703222521336,31.1703222521336,3.108624e-15,1,4.585161126067133,4.585161126067133,21,2,22,3,4.585161126^1 | 1^21 | 4.585161126^1,5.084966e-13,True,-1.496581e-13,-2.206135e-05,4.585161126066466,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.585161126067133,,,,,,,,,,,,,,,,,,,,,,,,,1,5.585161126066466,6.585161126066466,7.585161126066466,8.585161126066467,9.585161126066467,10.58516112606647,11.58516112606647,12.58516112606647,13.58516112606647,14.58516112606647,15.58516112606647,16.58516112606647,17.58516112606647,18.58516112606647,19.58516112606647,20.58516112606647,21.58516112606647,22.58516112606647,23.58516112606647,24.58516112606647,25.58516112606647,26.58516112606647,31.1703222521336,,,,,,,,,,,,,,,,,,,,,,,,
25,2.839393106220806,2.83725520137118,0.002137904849625727,11.584065681,21740,38,101,run_refine_tol0.02_Q3:stationary,min(gap)=1,0.7533137353861763,1.32746816236845,31.85923589684279,32.85923589684279,1.776357e-15,1,4.929617948423946,4.929617948423946,22,2,23,3,4.929617948^1 | 1^22 | 4.929617948^1,3.840502e-12,True,-1.501022e-13,-2.636574e-05,4.929617948423946,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.929617948418848,,,,,,,,,,,,,,,,,,,,,,,,1,5.929617948423946,6.929617948423946,7.929617948423946,8.929617948423946,9.929617948423946,10.92961794842395,11.92961794842395,12.92961794842395,13.92961794842395,14.92961794842395,15.92961794842395,16.92961794842395,17.92961794842395,18.92961794842395,19.92961794842395,20.92961794842395,21.92961794842395,22.92961794842395,23.92961794842395,24.92961794842395,25.92961794842395,26.92961794842395,27.92961794842395,32.85923589684279,,,,,,,,,,,,,,,,,,,,,,,
26,2.849882077661133,2.847377610327807,0.002504467333325877,8.409975488,14431,38,100,run_refine_tol0.02_Q3:stationary,min(gap)=1,0.7454973467499153,1.341386397093993,33.53465992734982,34.53465992734982,2.664535e-15,1,5.267329963675018,5.267329963675018,23,2,24,3,5.267329964^1 | 1^23 | 5.267329964^1,1.608987e-13,True,-1.492140e-13,-2.105260e-05,5.267329963674802,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.267329963675018,,,,,,,,,,,,,,,,,,,,,,,1,6.267329963674802,7.267329963674802,8.267329963674802,9.267329963674802,10.2673299636748,11.2673299636748,12.2673299636748,13.2673299636748,14.2673299636748,15.2673299636748,16.2673299636748,17.2673299636748,18.2673299636748,19.2673299636748,20.2673299636748,21.2673299636748,22.2673299636748,23.2673299636748,24.2673299636748,25.2673299636748,26.2673299636748,27.2673299636748,28.2673299636748,29.2673299636748,34.53465992734982,,,,,,,,,,,,,,,,,,,,,,
27,2.859637241783637,2.856814957509592,0.002822284274045295,8.552932828,13586,38,100,run_refine_tol0.02_Q3:stationary,min(gap)=1,0.7386353754574455,1.353847965081131,35.20004709210941,36.20004709210941,2.220446e-15,1,5.600023546058134,5.600023546058134,24,2,25,3,5.600023546^1 | 1^24 | 5.600023546^1,5.060693e-12,True,-1.469935e-13,-2.406996e-05,5.600023546058134,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.600023546051283,,,,,,,,,,,,,,,,,,,,,,1,6.600023546058134,7.600023546058134,8.600023546058134,9.600023546058134,10.60002354605813,11.60002354605813,12.60002354605813,13.60002354605813,14.60002354605813,15.60002354605813,16.60002354605813,17.60002354605813,18.60002354605813,19.60002354605813,20.60002354605813,21.60002354605813,22.60002354605813,23.60002354605813,24.60002354605813,25.60002354605813,26.60002354605813,27.60002354605813,28.60002354605813,29.60002354605813,30.60002354605813,36.20004709210941,,,,,,,,,,,,,,,,,,,,,
28,2.868733258057152,2.86563571083428,0.00309754722287181,8.279123813,13726,38,101,run_refine_tol0.02_Q3:stationary,min(gap)=1,0.7325466974726643,1.365100687027964,36.85771854975502,37.85771854975502,1.332268e-15,1,5.928859274877803,5.928859274877803,25,2,26,3,5.928859275^1 | 1^25 | 5.928859275^1,4.255134e-13,True,-1.452172e-13,-2.311806e-05,5.928859274877803,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.928859274877222,,,,,,,,,,,,,,,,,,,,,1,6.928859274877803,7.928859274877803,8.928859274877803,9.928859274877803,10.9288592748778,11.9288592748778,12.9288592748778,13.9288592748778,14.9288592748778,15.9288592748778,16.9288592748778,17.9288592748778,18.9288592748778,19.9288592748778,20.9288592748778,21.9288592748778,22.9288592748778,23.9288592748778,24.9288592748778,25.9288592748778,26.9288592748778,27.9288592748778,28.9288592748778,29.9288592748778,30.9288592748778,31.9288592748778,37.85771854975502,,,,,,,,,,,,,,,,,,,,
29,2.877235129808751,2.873899428772647,0.0033357010361037,8.372651632,13246,38,99,run_refine_tol0.02_Q3:stationary,min(gap)=1,0.7270969605505481,1.375332389290712,38.50930690013995,39.50930690013995,0.000000e+00,1,6.254653450069982,6.254653450069982,26,2,27,3,6.25465345^1 | 1^26 | 6.25465345^1,9.686877e-15,True,-1.403322e-13,-2.640121e-05,6.254653450069968,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6.254653450069982,,,,,,,,,,,,,,,,,,,,1,7.254653450069968,8.254653450069968,9.254653450069968,10.25465345006997,11.25465345006997,12.25465345006997,13.25465345006997,14.25465345006997,15.25465345006997,16.25465345006997,17.25465345006997,18.25465345006997,19.25465345006997,20.25465345006997,21.25465345006997,22.25465345006997,23.25465345006997,24.25465345006997,25.25465345006997,26.25465345006997,27.25465345006997,28.25465345006997,29.25465345006997,30.25465345006997,31.25465345006997,32.25465345006997,33.25465345006997,39.50930690013995,,,,,,,,,,,,,,,,,,,
30,2.885199664180503,2.881658171454754,0.003541492725748885,9.318038298,15356,38,98,run_refine_tol0.008_Q3:stationary,min(gap)=1,0.7221834596495363,1.384689702648803,40.15600137681527,41.15600137681527,2.664535e-15,1,6.578000688407688,6.578000688407688,27,2,28,3,6.578000688^1 | 1^27 | 6.578000688^1,7.119848e-14,True,-1.421085e-13,-2.172993e-05,6.578000688407589,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6.578000688407688,,,,,,,,,,,,,,,,,,,1,7.578000688407589,8.578000688407588,9.578000688407588,10.57800068840759,11.57800068840759,12.57800068840759,13.57800068840759,14.57800068840759,15.57800068840759,16.57800068840759,17.57800068840759,18.57800068840759,19.57800068840759,20.57800068840759,21.57800068840759,22.57800068840759,23.57800068840759,24.57800068840759,25.57800068840759,26.57800068840759,27.57800068840759,28.57800068840759,29.57800068840759,30.57800068840759,31.57800068840759,32.57800068840758,33.57800068840758,34.57800068840758,41.15600137681527,,,,,,,,,,,,,,,,,,
31,2.892676693485542,2.888957650890537,0.003719042595005106,8.852998687,13809,38,95,run_refine_tol0.02_Q3:stationary,min(gap)=1,0.7177257935689115,1.393289761856645,41.79869285569934,42.79869285569934,2.664535e-15,1,6.899346427853731,6.899346427853731,28,2,29,3,6.899346428^1 | 1^28 | 6.899346428^1,5.822638e-12,True,-1.358913e-13,-2.100988e-05,6.899346427853731,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6.899346427845618,,,,,,,,,,,,,,,,,,1,7.899346427853731,8.899346427853731,9.899346427853731,10.89934642785373,11.89934642785373,12.89934642785373,13.89934642785373,14.89934642785373,15.89934642785373,16.89934642785373,17.89934642785373,18.89934642785373,19.89934642785373,20.89934642785373,21.89934642785373,22.89934642785373,23.89934642785373,24.89934642785373,25.89934642785373,26.89934642785373,27.89934642785373,28.89934642785373,29.89934642785373,30.89934642785373,31.89934642785373,32.89934642785373,33.89934642785373,34.89934642785373,35.89934642785373,42.79869285569934,,,,,,,,,,,,,,,,,
32,2.899710094908337,2.895838175030688,0.003871919877648899,13.446419019,24168,38,99,run_refine_tol0.008_Q3:stationary,min(gap)=1,0.7136597951800193,1.401227877419873,43.43806420001609,44.43806420001609,3.552714e-15,1,7.21903210004839,7.21903210004839,29,2,30,3,7.2190321^1 | 1^29 | 7.2190321^1,5.758593e-11,True,-1.314504e-13,-2.351526e-05,7.21903210004839,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7.219032099967699,,,,,,,,,,,,,,,,,1,8.219032100048391,9.219032100048391,10.21903210004839,11.21903210004839,12.21903210004839,13.21903210004839,14.21903210004839,15.21903210004839,16.21903210004839,17.21903210004839,18.21903210004839,19.21903210004839,20.21903210004839,21.21903210004839,22.21903210004839,23.21903210004839,24.21903210004839,25.21903210004839,26.21903210004839,27.21903210004839,28.21903210004839,29.21903210004839,30.21903210004839,31.21903210004839,32.21903210004839,33.21903210004839,34.21903210004839,35.21903210004839,36.21903210004839,37.21903210004839,44.43806420001609,,,,,,,,,,,,,,,,
