N,record_count_refined,count_independent_test,j,L,n_j,n_j_over_N,conjectured_n_j_over_N,count_fraction_error,count_fraction_relative_error,gamma_j,effective_exponent_log_gamma_over_log_N,gamma_over_N_to_j_over_2,gamma_over_N_to_j,n_j_over_n_jplus1,pi_ratio_error
3000,True,True,6,6,1,0.0003333333333333333,0.00035453389655914277,-2.1200563225809443e-05,-0.05979840977567232,2327288.1557785366,1.831069351012584,8.619585762142728e-05,3.1924391711639734e-15,,
5000,True,True,0,7,3443,0.6886,0.6816901138162093,0.006909886183790737,0.010136403688045435,1.0,0.0,1.0,1.0,5.987826086956522,2.846233433366729
5000,True,True,1,7,575,0.115,0.10849435127072644,0.006505648729273561,0.05996301791823232,211.6164780328995,0.628701903327754,2.9927089325575458,0.0423232956065799,4.078014184397163,0.9364215308073698
5000,True,True,2,7,141,0.0282,0.034534824604569136,-0.006334824604569137,-0.18343294564556747,7209.813535342328,1.0429725108205188,1.4419627070684655,0.0002883925414136931,3.4390243902439024,0.29743173665410927
5000,True,True,3,7,41,0.0082,0.010992776089257578,-0.0027927760892575773,-0.254055578552787,88252.13213137595,1.3370546938056491,0.24961472433706858,7.060170570510076e-07,2.9285714285714284,-0.21302122501836473
5000,True,True,4,7,14,0.0028,0.003499109305815475,-0.0006991093058154752,-0.19979636093492834,705471.9443884584,1.5811103470173737,0.028218877775538335,1.1287551110215334e-09,2.8,-0.3415926535897933
5000,True,True,5,7,5,0.001,0.0011138010848787665,-0.00011380108487876652,-0.1021736164776257,4250614.973620791,1.791972294991495,0.002404510937648271,1.3601967915586531e-12,5.0,1.8584073464102069
5000,True,True,6,7,1,0.0002,0.00035453389655914277,-0.00015453389655914276,-0.4358790458654033,15342179.341352731,1.9426724322370104,0.00012273743473082186,9.818994778465747e-16,1.0,-2.141592653589793
5000,True,True,7,7,1,0.0002,0.00011285164426203656,8.714835573796345e-05,0.7722382452453133,38218281.50706001,2.0498331011412967,4.32390496303017e-06,4.891940032903682e-19,,
8000,True,True,0,7,5241,0.655125,0.6816901138162093,-0.026565113816209296,-0.03896948668874422,1.0,0.0,1.0,1.0,5.331637843336725,2.1900451897469315
8000,True,True,1,7,983,0.122875,0.10849435127072644,0.014380648729273554,0.1325474419713286,353.95288303720537,0.653058336501201,3.957313536516117,0.04424411037965067,3.5875912408759123,0.4459985872861192
8000,True,True,2,7,274,0.03425,0.034534824604569136,-0.00028482460456913383,-0.008247460580166087,27658.878443166206,1.1380302735679828,3.4573598053957757,0.000432169975674472,3.382716049382716,0.24112339579292286
8000,True,True,3,7,81,0.010125,0.010992776089257578,-0.0008677760892575777,-0.07894057717645961,433181.148540956,1.4441556733870777,0.6053890591931321,8.460569307440548e-07,3.0,-0.14159265358979312
8000,True,True,4,7,27,0.003375,0.003499109305815475,-0.00012410930581547523,-0.035468827912636836,4192244.4822672154,1.6967189134409935,0.06550382003542524,1.0234971880535195e-09,2.7,-0.44159265358979294
8000,True,True,5,7,10,0.00125,0.0011138010848787665,0.00013619891512123348,0.12228297940296788,30414349.0267612,1.917219062440214,0.005313168118378329,9.281722725452026e-13,3.3333333333333335,0.19174067974354037
8000,True,True,6,7,3,0.000375,0.00035453389655914277,2.0466103440857242e-05,0.057726789002368696,182475838.8849519,2.116580810694866,0.00035639812282217166,6.96090083637054e-16,3.0,-0.14159265358979312
8000,True,True,7,7,1,0.000125,0.00011285164426203656,1.214835573796344e-05,0.10764890327832079,621532596.4723216,2.2529493144129424,1.3572159530703682e-05,2.963698370324715e-19,,
12000,False,False,0,7,8183,0.6819166666666666,0.6816901138162093,0.00022655285045736218,0.0003323399384349047,1.0,0.0,1.0,1.0,6.28494623655914,3.143353582969347
12000,False,False,1,7,1302,0.1085,0.10849435127072644,5.6487292735551975e-06,5.2064731549570705e-05,564.8430689120585,0.6746274896809116,5.156288171559657,0.04707025574267154,3.1449275362318843,0.0033348826420911415
12000,False,False,2,7,414,0.0345,0.034534824604569136,-3.482460456913361e-05,-0.0010083909493643739,72391.38743675563,1.191338802365163,6.0326156197296354,0.0005027179683108029,3.1363636363636362,-0.0052290172261568735
12000,False,False,3,7,132,0.011,0.010992776089257578,7.2239107424213606e-06,0.0006571507218709522,1455456.2766965514,1.5108421988650664,1.107203103068308,8.422779379030969e-07,3.142857142857143,0.0012644892673496777
12000,False,False,4,7,42,0.0035,0.003499109305815475,8.906941845248859e-07,0.00025454883133961076,18303906.757651802,1.7803925240649543,0.12711046359480418,8.827115527416957e-10,3.230769230769231,0.08917657717943772
12000,False,False,5,7,13,0.0010833333333333333,0.0011138010848787665,-3.046775154543326e-05,-0.027354751184094573,161524566.12875056,2.0122269857727306,0.01023965838656847,6.491310045683456e-13,3.25,0.10840734641020688
12000,False,False,6,7,4,0.0003333333333333333,0.00035453389655914277,-2.1200563225809443e-05,-0.05979840977567232,1164892827.1267872,2.222574929680585,0.00067412779347615,3.9012025085425345e-16,4.0,0.8584073464102069
